url,type,error,status_code,source,suggestion
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
#,internal,Empty anchor and no path,,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/til/til_index,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/til/til_context_compaction_20250119,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/til/til_template,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/streaming_sse,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/streaming_sse, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/streaming_sse.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/streaming_sse/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/hello_world_agent,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/docs/hello_world_agent,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/streaming/index.html,
/adk_training/,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
#,internal,Empty anchor and no path,,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/til/til_index,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/til/til_context_compaction_20250119,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/til/til_template,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/hello_world_agent,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/docs/hello_world_agent,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/search/index.html,
/adk_training/,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
#,internal,Empty anchor and no path,,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/til/til_index,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/til/til_context_compaction_20250119,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/til/til_template,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/hello_world_agent,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/docs/hello_world_agent,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/hello_world_agent/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/safety/index.html,
/adk_training/,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/multi-model/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/multi-model/index.html,
/adk_training/docs/overview,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/overview/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/multi-model/index.html,
#,internal,Empty anchor and no path,,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/multi-model/index.html,
/adk_training/docs/til/til_index,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_index/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/multi-model/index.html,
/adk_training/docs/til/til_context_compaction_20250119,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_context_compaction_20250119/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/multi-model/index.html,
/adk_training/docs/til/til_template,internal,"File not found. Tried: /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template.html, /Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/til/til_template/index.html",,/Users/raphaelmansuy/Github/03-working/adk_training/docs/build/docs/tags/multi-model/index.html,
